logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneSymbol
-0.268853962977502,-0.0999396111098501,-17.7826713322593,2.01124471592979e-54,1.25020408145564e-52,113.069644001824,C1orf76
0.272449037367163,0.0553323832588865,17.7793784802964,2.08298888446853e-54,1.29019293715924e-52,113.034786715781,GPR146
-0.366455662706183,-0.223574080522484,-17.7627744896406,2.48562159899946e-54,1.51797347124862e-52,112.859039842036,CRHBP
-0.232127489646755,-0.0737281976805139,-17.7596092868192,2.57077396407941e-54,1.56448674282525e-52,112.825540937067,FNDC5
-0.23054979205681,-0.135856744006424,-17.7281460579966,3.59296750202522e-54,2.17137497822045e-52,112.49261226155,SGIP1
0.235669085552132,0.0439910308862955,17.724441115396,3.73740664074939e-54,2.25084991634059e-52,112.453415822202,MCL1
-0.238591894424295,-0.143352932555246,-17.7163867596663,4.07173611000047e-54,2.43534594483018e-52,112.368210224976,MRPS30
-0.274163329313096,-0.0800787446036481,-17.7194175812249,4.17152724007635e-54,2.47800107896003e-52,112.344759747299,PFN2
0.237409210384877,-0.0138147611156317,17.7085993521975,4.42336305338286e-54,2.61866101850778e-52,112.285835749369,NPC2
-0.222657639213067,-0.135427393650321,-17.6987472011762,4.91200772034691e-54,2.87856883409555e-52,112.181630670597,HECW2
0.260860435574172,-0.00839822074411135,17.6926446203572,5.24136055416597e-54,3.05103279081133e-52,112.117090021108,HCLS1
-0.362033556876658,-0.173861029901071,-17.6850701912588,5.68099254877377e-54,3.28497260170789e-52,112.036989192999,C19orf30
0.205186073119327,-0.000597581839186296,17.6811472625778,5.92297545349883e-54,3.41355588636249e-52,111.995506209978,STK3
0.254158853508605,-0.0525483714521627,17.6755736628449,6.28459009497567e-54,3.61000959085979e-52,111.936571309329,IL13RA1
0.412084331353316,-0.0297800634646681,17.6751327412826,6.31412126530003e-54,3.61504212574168e-52,111.931909186959,LCP1
0.312328646052234,0.0852925963316917,17.6626259004809,7.21206037121551e-54,4.11560363150839e-52,111.79967651137,LRP10
